unvocalized,vocalized,jamid,root
بطن,بَطِنَ,0,بطط
سكع,سَكَعَ,0,سكع
بطح,بَطَحَ,0,بطح
خنف,خَنَفَ,0,خنف
غدق,غَدَقَ,0,غدق
جزل,جَزَلَ,1,جزل
جلط,جَلَطَ,0,جلط
مسك,مَسَكَ,0,مسو
جرج,جَرِجَ,1,جرج
دلف,دَلَفَ,0,دغر
عجف,عَجِفَ,0,عجف
ملد,مَلِدَ,0,ملد
نهر,نَهِرَ,0,نهر
جرذ,جَرِذَ,0,جرذ
جرع,جَرَعَ,0,جرع
جرح,جَرَحَ,0,جرح
سعر,سَعَرَ,0,سعر
تفه,تَفِهَ,0,تفه
رسل,رَسِلَ,1,رسل
هدل,هَدِلَ,0,هدل
نزل,نَزِلَ,0,نزل
خضم,خَضِمَ,0,خضم
شبم,شَبِمَ,0,شبم
تلف,تَلِفَ,0,تلف
حطب,حَطِبَ,0,حطب
ترف,تَرِفَ,0,ترف
كحل,كَحِلَ,0,كحل
بقر,بَقَرَ,1,بقر
هدف,هَدَفَ,1,هدف
بعر,بَعَرَ,1,بعر
بغت,بَغَتَ,0,بغغ
بخل,بَخِلَ,0,بخل
محل,مَحَلَ,0,محل
عكس,عَكَسَ,0,عكس
ردف,رَدِفَ,1,ردف
قصف,قَصَفَ,0,قصف
خطر,خَطَرَ,0,خطر
جنح,جَنَحَ,1,جنح
تبع,تَبِعَ,0,تبع
شنج,شَنِجَ,0,شنج
حسف,حَسِفَ,0,حسف
عتب,عَتَبَ,0,عتب
بحث,بَحَثَ,0,بحث
عشق,عَشِقَ,0,عشق
نعب,نَعَبَ,0,نعب
صرد,صَرِدَ,0,صرد
خزق,خَزَقَ,0,خزق
زلع,زَلَعَ,0,زلع
شنع,شَنَعَ,0,شنع
شنع,شَنِعَ,0,شنع
ربع,رَبَعَ,0,ربع
نصع,نَصَعَ,0,نصع
عتق,عَتَقَ,0,عتق
صرف,صَرَفَ,0,صرف
هزج,هَزِجَ,1,هزج
نتن,نَتَنَ,0,نوت
صعق,صَعَقَ,0,صعق
صعق,صَعِقَ,0,صعق
حدر,حَدِرَ,0,حدر
صدف,صَدَفَ,1,صدف
شهق,شَهَقَ,0,شهق
معن,مَعَنَ,0,معع
شهب,شَهِبَ,1,شهب
فخر,فَخِرَ,0,فخر
زمر,زَمَرَ,0,زمر
شكر,شَكِرَ,0,شكر
شكس,شَكِسَ,0,شكس
شكل,شَكِلَ,0,شكل
حمل,حَمَلَ,1,حمل
شمت,شَمِتَ,0,شمم
كبت,كَبَتَ,0,كبو
شمس,شَمِسَ,0,شمس
نزف,نَزَفَ,0,نزف
شرب,شَرِبَ,0,شرب
زعق,زَعَقَ,0,زعق
نشط,نَشَطَ,0,نشط
ذبح,ذَبَحَ,0,ذبح
شعف,شَعِفَ,1,شعف
سوق,سَوِقَ,1,سوق
جشم,جَشِمَ,0,جشم
شبر,شَبِرَ,0,شبر
ظلف,ظَلِفَ,0,ظلف
طفر,طَفَرَ,0,طفر
شبق,شَبِقَ,0,شبق
سيس,سَيِسَ,0,سوس
صرم,صَرَمَ,0,صرم
لزج,لَزِجَ,1,لزج
غلق,غَلَقَ,0,غلق
بشع,بَشِعَ,0,بشع
شوه,شَوِهَ,0,شوي
لمس,لَمَسَ,0,لمس
شبك,شَبَكَ,0,شبب
هجع,هَجَعَ,0,هجع
شبع,شَبِعَ,0,شبع
شخب,شَخَبَ,0,شخب
عدل,عَدَلَ,0,عدل
قضب,قَضَبَ,0,قضب
صدع,صَدَعَ,0,صدع
صخب,صَخِبَ,0,صخب
حدج,حَدَجَ,0,حدج
قرس,قَرَسَ,0,قرس
رثم,رَثِمَ,0,رثم
علق,عَلَقَ,0,
نذر,نَذِرَ,0,نذر
كتف,كَتَفَ,0,كتف
جهز,جَهَزَ,0,جهز
خفر,خَفِرَ,0,خفر
حبر,حَبِرَ,1,حبر
رضع,رَضِعَ,0,رضع
جهش,جَهَشَ,0,جهش
جهد,جَهَدَ,0,جهد
قضم,قَضِمَ,0,قضم
خصب,خَصَبَ,0,خصب
حنث,حَنِثَ,0,حنث
قلق,قَلَقَ,0,قلق
حور,حَوِرَ,1,حور
شنب,شَنِبَ,0,شنب
حمر,حَمِرَ,0,حمر
حمس,حَمِسَ,0,حمس
خبز,خَبَزَ,0,خبز
ظرب,ظَرِبَ,1,ظرب
حبط,حَبَطَ,0,حبط
هزع,هَزَعَ,0,هزع
حنط,حَنَطَ,0,حنط
حنف,حَنِفَ,0,حنف
حبط,حَبِطَ,0,حبط
بذخ,بَذِخَ,0,بذخ
كرز,كَرَزَ,1,كرز
ثمل,ثَمِلَ,0,ثمل
مشط,مَشَطَ,1,مشط
حذر,حَذِرَ,0,حذر
خرق,خَرِقَ,0,خرق
حرد,حَرَدَ,0,حرد
غلب,غَلَبَ,0,غلب
دنف,دَنِفَ,0,دنف
شنف,شَنِفَ,0,شنف
سلب,سَلِبَ,0,سلب
شفه,شَفَهَ,0,شفف
عجز,عَجَزَ,0,عجز
ظلم,ظَلِمَ,0,ظلم
كسف,كَسَفَ,0,كسف
حرم,حَرَمَ,0,حرم
شفق,شَفِقَ,0,شفق
كفح,كَفِحَ,0,كفح
نكح,نَكَحَ,0,نكح
حزم,حَزَمَ,0,حزم
كدر,كَدِرَ,0,كدر
خرب,خَرِبَ,0,خرب
حسف,حَسَفَ,0,حسف
سدل,سَدِلَ,0,سدل
سكر,سَكِرَ,0,سكر
حسم,حَسَمَ,0,حسم
حشد,حَشَدَ,0,حشد
خزل,خَزَلَ,0,خزل
خزر,خَزِرَ,0,خزر
لبد,لَبِدَ,0,لبد
خلس,خَلِسَ,0,خلس
نمس,نَمِسَ,0,نمس
قبس,قَبَسَ,0,قبس
ركن,رَكَنَ,0,ورك
قشف,قَشِفَ,0,قشف
خمج,خَمِجَ,0,خمج
فقص,فَقَصَ,0,فقص
رشم,رَشِمَ,0,رشم
خفر,خَفَرَ,0,خفر
رحل,رَحَلَ,0,رحل
خلب,خَلَبَ,1,خلب
درز,دَرِزَ,0,درز
خشف,خَشَفَ,0,خشف
خشف,خَشِفَ,0,خشف
خشم,خَشَمَ,0,خشم
هدر,هَدَرَ,0,هدر
نعر,نَعِرَ,0,نعر
سحب,سَحَبَ,0,سحب
خرش,خَرَشَ,0,خرش
خرس,خَرِسَ,0,خرس
خرق,خَرَقَ,0,خرق
رجح,رَجَحَ,0,رجح
خرع,خَرِعَ,0,خرع
خرف,خَرِفَ,0,خرف
خرز,خَرِزَ,1,خرز
رصع,رَصِعَ,0,رصع
رضخ,رَضَخَ,0,رضخ
نعق,نَعَقَ,0,نعق
رضع,رَضَعَ,0,رضع
رضع,رَضَعَ,0,رضع
رصع,رَصَعَ,0,رصع
خطب,خَطِبَ,1,خطب
رعب,رَعَبَ,0,رعب
نفس,نَفِسَ,0,
ذلف,ذَلِفَ,0,ذلف
رعف,رَعِفَ,0,رعف
رقب,رَقِبَ,0,رقب
نمس,نَمَسَ,0,نمس
خطف,خَطِفَ,0,خطف
خصر,خَصِرَ,0,خصر
خضب,خَضِبَ,0,خضب
ضغط,ضَغَطَ,0,ضغط
حكر,حَكَرَ,0,حكر
خلف,خَلِفَ,0,
صنع,صَنَعَ,0,صنع
قطم,قَطِمَ,0,قطم
دعم,دَعَمَ,1,دعم
حفل,حَفَلَ,0,حفل
طلح,طَلِحَ,0,طلح
خصم,خَصَمَ,0,خصم
سخط,سَخِطَ,0,سخط
خطل,خَطِلَ,0,خطل
خنس,خَنَسَ,0,خنس
خور,خَوِرَ,1,خور
سنم,سَنِمَ,0,سنم
كنس,كَنَسَ,0,كنس
زعر,زَعِرَ,0,زعر
كبس,كَبِسَ,0,كبس
دجر,دَجِرَ,0,دجر
عمد,عَمِدَ,1,عمد
صبح,صَبِحَ,0,صبح
قرط,قَرِطَ,0,قرط
دمن,دَمِنَ,0,دمي
دبر,دَبِرَ,1,دبر
دبش,دَبَشَ,1,دبش
نهك,نَهَكَ,0,نهي
شخص,شَخَصَ,1,شخص
هدم,هَدَمَ,0,هدم
دخل,دَخِلَ,0,دخل
نهك,نَهِكَ,0,نهي
نهم,نَهَمَ,0,نهم
حرب,حَرِبَ,0,حرب
دحس,دَحِسَ,0,دحس
دعك,دَعِكَ,0,ودع
نبذ,نَبَذَ,0,نبذ
كنز,كَنَزَ,0,كنز
يقن,يَقِنَ,0,يقق
قرن,قَرَنَ,0,قرر
فطم,فَطَمَ,0,فطم
رمد,رَمِدَ,0,رمد
زعق,زَعِقَ,0,زعق
دعس,دَعَسَ,0,دعس
شمخ,شَمَخَ,0,شمت
رقش,رَقِشَ,0,رقش
دعص,دَعَصَ,1,دعص
كفل,كَفِلَ,0,كفل
خسف,خَسَفَ,0,خسف
ثلم,ثَلِمَ,0,ثلم
قرق,قَرَقَ,0,قرق
كسف,كَسَفَ,0,كسف
فرع,فَرِعَ,0,فرع
خسر,خَسِرَ,0,خسر
مهر,مَهَرَ,1,مهر
دغم,دَغِمَ,0,دغم
دلع,دَلَعَ,0,دلع
نخب,نَخِبَ,0,نخب
دغم,دَغِمَ,0,دغم
درع,دَرِعَ,0,درع
دغص,دَغِصَ,0,دغص
كمن,كَمِنَ,0,
دسق,دَسِقَ,0,دسق
حفظ,حَفِظَ,0,حفظ
درم,دَرِمَ,0,درم
دفع,دَفَعَ,0,دفع
شهم,شَهَمَ,0,شهم
درم,دَرَمَ,0,درم
سفع,سَفَعَ,0,سفع
جدل,جَدَلَ,1,جدل
ربذ,رَبِذَ,0,ربذ
ملط,مَلِطَ,0,ملط
ذعف,ذَعَفَ,0,ذعف
ذعف,ذَعَفَ,0,ذعف
نقم,نَقِمَ,0,نقم
جدل,جَدِلَ,1,جدل
جدر,جَدِرَ,1,جدر
نصح,نَصَحَ,0,نصح
ذهن,ذَهِنَ,0,ذهن
جبه,جَبِهَ,0,جبب
جدف,جَدَفَ,0,جدف
ركب,رَكِبَ,0,ركب
رتج,رَتِجَ,1,رتج
رتق,رَتِقَ,0,رتق
نخر,نَخِرَ,0,نخر
رثم,رَثَمَ,0,رثم
نزح,نَزَحَ,0,نزح
رجب,رَجِبَ,1,رجب
هزم,هَزَمَ,0,هزم
همز,هَمَزَ,0,همز
كرز,كَرَزَ,1,كرز
قبح,قَبَحَ,0,قبح
لسن,لَسِنَ,0,
رجل,رَجِلَ,0,رجل
رجس,رَجِسَ,0,رجس
غرد,غَرِدَ,0,غرد
شرم,شَرَمَ,0,شرم
حسك,حَسِكَ,0,حسي
ثلب,ثَلَبَ,0,ثلب
نعم,نَعِمَ,0,
جبذ,جَبَذَ,0,جبذ
فره,فَرِهَ,0,فرو;فري
جمع,جَمَعَ,1,جمع
جنب,جَنَبَ,0,
كبش,كَبَشَ,0,كبش
جشع,جَشِعَ,0,جشع
كرش,كَرِشَ,0,كرش
جعل,جَعَلَ,1,
جدع,جَدَعَ,0,جدع
جذم,جَذِمَ,0,جذم
خنف,خَنِفَ,0,خنف
جذع,جَذَعَ,1,جذع
سعف,سَعِفَ,0,سعف
فسد,فَسَدَ,0,فسد
حلم,حَلِمَ,0,حلم
جذف,جَذَفَ,0,جذف
ثقف,ثَقِفَ,0,ثقف
جرد,جَرِدَ,0,جرد
فقر,فَقِرَ,0,فقر
جذل,جَذِلَ,0,جذل
رغم,رَغَمَ,0,رغم
جزع,جَزِعَ,0,جزع
رهب,رَهِبَ,0,رهب
رهص,رَهِصَ,0,رهص
نطس,نَطِسَ,0,نطس
ركع,رَكَعَ,0,ركع
رمد,رَمَدَ,0,رمد
عقص,عَقَصَ,0,عقص
رمش,رَمِشَ,1,رمش
رغف,رَغَفَ,0,رغف
كشح,كَشِحَ,0,كشح
ذرح,ذَرَحَ,0,ذرح
رعن,رَعِنَ,0,رعي
سمح,سَمَحَ,0,سمح
رفد,رَفَدَ,1,رفد
دهك,دَهَكَ,0,دهي
ردح,رَدَحَ,0,ردح
رزح,رَزَحَ,0,رزح
جهر,جَهَرَ,0,جهر
رذل,رَذِلَ,0,رذل
نعس,نَعَسَ,0,نعس
فعم,فَعِمَ,0,فعم
نصب,نَصِبَ,0,نصب
ركن,رَكِنَ,0,ورك
رمح,رَمَحَ,1,رمح
رشح,رَشَحَ,0,رشح
بشر,بَشِرَ,0,بشر
خشب,خَشِبَ,1,خشب
حرش,حَرِشَ,0,حرش
قنع,قَنِعَ,0,قنع
دمث,دَمِثَ,0,دمث
دمس,دَمَسَ,0,دمس
رفش,رَفِشَ,0,رفش
دله,دَلِهَ,0,دلو
دمغ,دَمَغَ,0,دمغ
قود,قَوِدَ,0,قود
رعش,رَعَشَ,0,رعش
مرد,مَرِدَ,0,مرد
دهس,دَهِسَ,1,دهس
لغد,لَغَدَ,1,لغد
دهش,دَهَشَ,0,دهش
دهش,دَهِشَ,0,دهش
لحف,لَحَفَ,0,لحف
قفص,قَفِصَ,0,قفص
سطع,سَطِعَ,0,سطع
ذبر,ذَبَرَ,0,ذبر
عفن,عَفَنَ,0,عفو
عشب,عَشِبَ,1,عشب
رفع,رَفَعَ,0,رفع
صحب,صَحِبَ,0,صحب
ذخر,ذَخَرَ,1,ذخر
ذرف,ذَرَفَ,0,ذرف
عصم,عَصَمَ,1,عصم
دهم,دَهَمَ,0,دهم
خلص,خَلِصَ,0,خلص
دوش,دَوِشَ,0,دوش
شظف,شَظِفَ,0,شظف
شمل,شَمِلَ,0,شمل
زمن,زَمِنَ,0,وزم
طبع,طَبَعَ,0,طبع
محق,مَحَقَ,0,محق
ربث,رَبَثَ,0,ربث
درج,دَرِجَ,1,درج
نجس,نَجِسَ,0,نجس
بخس,بَخَسَ,0,بخس
ضبن,ضَبِنَ,0,ضبب
علب,عَلِبَ,0,علب
حنف,حَنَفَ,0,حنف
حقب,حَقِبَ,1,حقب
صحن,صَحَنَ,0,صحح
نهش,نَهَشَ,0,نهش
ظهر,ظَهِرَ,0,ظهر
حضر,حَضِرَ,0,حضر
قضم,قَضَمَ,0,قضم
غرز,غَرَزَ,0,غرز
فجع,فَجَعَ,0,فجع
عدس,عَدَسَ,1,
نفر,نَفَرَ,0,نفر
كبل,كَبَلَ,0,كبل
محك,مَحَكَ,1,ميح
حتم,حَتَمَ,0,حتم
عصب,عَصَبَ,0,عصب
فلح,فَلِحَ,0,فلح
دحص,دَحَصَ,0,دحص
سنح,سَنَحَ,0,سنح
زعج,زَعَجَ,0,زعج
حسر,حَسِرَ,0,حسر
طفل,طَفِلَ,0,طفل
شرب,شَرَبَ,0,شرب
نبه,نَبِهَ,0,نوب
طرش,طَرِشَ,0,طرش
ضمن,ضَمِنَ,0,
خصف,خَصِفَ,0,خصف
غرز,غَرِزَ,0,غرز
فدح,فَدَحَ,0,فدح
رغن,رَغَنَ,0,رغو
ترح,تَرِحَ,0,ترح
شذب,شَذَبَ,0,شذب
نحط,نَحَطَ,0,نحط
خضر,خَضِرَ,0,خضر
رفه,رَفَهَ,0,رفف
قور,قَوِرَ,0,قور
ذعر,ذَعَرَ,1,ذعر
سقف,سَقِفَ,0,سقف
دحض,دَحَضَ,0,دحض
حرج,حَرِجَ,0,حرج
بهج,بَهَجَ,0,بهج
متع,مَتَعَ,1,متع
قبع,قَبَعَ,1,قبع
قبل,قَبِلَ,1,
فصم,فَصَمَ,0,فصم
عكش,عَكِشَ,0,عكش
لطم,لَطَمَ,0,لطم
نظم,نَظَمَ,0,نظم
فتن,فَتَنَ,0,فتت
فتك,فَتَكَ,0,فتت
عرم,عَرِمَ,0,عرم
صقع,صَقَعَ,0,صقع
دجم,دَجِمَ,0,دجم
فطح,فَطِحَ,0,فطح
سفع,سَفِعَ,0,سفع
جلخ,جَلَخَ,0,جلخ
شغف,شَغِفَ,0,شغف
خشم,خَشِمَ,0,خشم
زمع,زَمِعَ,0,زمع
نشف,نَشِفَ,0,نشف
سبح,سَبَحَ,0,سبح
سبخ,سَبِخَ,0,سبخ
سفه,سَفَهَ,0,سفف
ذهب,ذَهَبَ,0,ذهب
ضعف,ضَعَفَ,0,ضعف
زعط,زَعَطَ,0,زعط
دحر,دَحَرَ,0,دحر
نحس,نَحِسَ,0,نحس
روح,رَوِحَ,0,روح
زمع,زَمَعَ,0,زمع
جلب,جَلَبَ,0,جلب
رهف,رَهَفَ,0,رهف
سمع,سَمِعَ,0,سمع
شجب,شَجِبَ,0,شجب
نهر,نَهَرَ,0,نهر
مصح,مَصَحَ,1,مصح
طعن,طَعَنَ,0,طعع
ثرب,ثَرَبَ,0,ثرب
فخر,فَخَرَ,0,فخر
مهل,مَهَلَ,1,مهل
جهل,جَهِلَ,0,جهل
نغم,نَغِمَ,0,نغم
نشم,نَشِمَ,0,نشم
نكد,نَكِدَ,0,نكد
ذعر,ذَعِرَ,1,ذعر
رضف,رَضَفَ,0,رضف
قمل,قَمِلَ,1,قمل
فرك,فَرَكَ,0,فرو;فري
غصن,غَصَنَ,0,غصص
دفن,دَفَنَ,0,دفف
همس,هَمَسَ,1,همس
جرع,جَرِعَ,0,جرع
نعش,نَعَشَ,0,نعش
معق,مَعَقَ,0,معق
فطس,فَطَسَ,0,فطس
نشر,نَشِرَ,0,نشر
صدح,صَدَحَ,0,صدح
سطح,سَطَحَ,0,سطح
نهم,نَهِمَ,0,نهم
هرد,هَرِدَ,0,هرد
دغر,دَغَرَ,0,دغر
قنص,قَنَصَ,0,قنص
شحم,شَحَمَ,0,شحم
قرض,قَرِضَ,0,قرض
نقم,نَقَمَ,0,نقم
عصد,عَصَدَ,0,عصد
جزف,جَزَفَ,0,جزف
سفك,سَفَكَ,0,سفف
هبش,هَبِشَ,0,هبش
ذرق,ذَرَقَ,0,ذرق
عزب,عَزَبَ,0,عزب
كبس,كَبَسَ,0,كبس
هذب,هَذَبَ,0,هذب
لهث,لَهِثَ,0,لهث
قزم,قَزِمَ,0,قزم
قتم,قَتِمَ,0,قتم
خنز,خَنِزَ,0,خنز
لهب,لَهِبَ,0,لهب
رعش,رَعِشَ,0,رعش
لطع,لَطَعَ,0,لطع
رهق,رَهِقَ,0,رهق
زلج,زَلَجَ,0,زلج
خفت,خَفَتَ,0,خفي
نكه,نَكَهَ,0,نيك
عقل,عَقَلَ,0,عقل
مذق,مَذَقَ,0,مذق
نقه,نَقَهَ,0,نقو
ثبط,ثَبِطَ,0,ثبط
طعم,طَعِمَ,0,طعم
عهد,عَهِدَ,0,عهد
قلم,قَلَمَ,1,قلم
بهر,بَهَرَ,1,بهر
قمع,قَمَعَ,0,قمع
حزم,حَزِمَ,0,حزم
غمض,غَمَضَ,0,غمض
نجل,نَجِلَ,0,نجل
شهب,شَهَبَ,1,شهب
عتق,عَتَقَ,0,عتق
ضجر,ضَجِرَ,0,ضجر
شرح,شَرَحَ,0,شرح
زبد,زَبَدَ,1,زبد
خنث,خَنِثَ,0,خنث
ترب,تَرِبَ,0,ربو
هدل,هَدَلَ,0,هدل
تله,تَلِهَ,0,تلي
طهر,طَهَرَ,0,طهر
كتف,كَتِفَ,0,كتف
عطش,عَطِشَ,0,عطش
كتف,كَتَفَ,0,كتف
حرص,حَرَصَ,0,حرص
قشر,قَشَرَ,0,قشر
صفع,صَفَعَ,0,صفع
نكف,نَكِفَ,0,نكف
شحن,شَحَنَ,0,شحح
زنم,زَنِمَ,0,زنم
نوق,نَوِقَ,0,نوق
عور,عَوِرَ,0,عور
سحم,سَحِمَ,0,سحم
ختم,خَتَمَ,0,ختم
سعر,سَعَرَ,0,سعر
قلع,قَلِعَ,1,قلع
حمل,حَمَلَ,1,حمل
صنع,صَنِعَ,0,صنع
نعج,نَعِجَ,0,نعج
قوس,قَوِسَ,1,قوس
دهم,دَهِمَ,0,دهم
نتف,نَتَفَ,0,نتف
قعس,قَعَسَ,0,قعس
سحر,سَحِرَ,1,سحر
نحل,نَحَلَ,0,نحل
دعك,دَعَكَ,0,ودع
صفر,صَفِرَ,1,صفر
سرس,سَرِسَ,0,سرس
عمش,عَمَشَ,0,عمش
خرم,خَرَمَ,0,خرم
غسق,غَسِقَ,0,غسق
سفه,سَفِهَ,0,سفف
نغص,نَغَصَ,0,نغص
حذق,حَذَقَ,0,حذق
هيف,هَيِفَ,0,هيف
نشق,نَشِقَ,0,نشق
حبل,حَبِلَ,0,حبل
فدع,فَدَعَ,0,فدع
هتف,هَتَفَ,0,هتف
حذف,حَذَفَ,0,حذف
فحل,فَحَلَ,0,فحل
لحن,لَحِنَ,0,لحح
سعد,سَعَدَ,0,سعد
خسر,خَسَرَ,0,خسر
قلب,قَلِبَ,0,قلب
رجع,رَجَعَ,0,
نفح,نَفَحَ,0,نفح
دسع,دَسَعَ,0,دسع
هتن,هَتَنَ,0,هتت
عتم,عَتَمَ,0,عتم
كشط,كَشَطَ,0,كشط
نفع,نَفَعَ,0,نفع
عدل,عَدَلَ,0,عدل
كفن,كَفَنَ,0,كفف
قحل,قَحِلَ,0,قحل
بصم,بَصَمَ,0,بصم
حلك,حَلِكَ,0,حلو
عبد,عَبِدَ,0,عبد
حزر,حَزَرَ,0,حزر
سحق,سَحَقَ,0,سحق
نصت,نَصَتَ,0,نصص
عبس,عَبِسَ,0,عبس
طمر,طَمَرَ,1,طمر
خدع,خَدَعَ,0,خدع
صلت,صَلَتَ,0,صلو
حرد,حَرِدَ,0,حرد
طمس,طَمَسَ,0,طمس
ظهر,ظَهَرَ,0,ظهر
طلق,طَلِقَ,0,طلق
حصب,حَصِبَ,0,حصب
صلف,صَلِفَ,0,صلف
صوف,صَوِفَ,1,صوف
ضغث,ضَغَثَ,0,ضغث
ذرع,ذَرِعَ,0,ذرع
صلد,صَلَدَ,0,صلد
كظم,كَظَمَ,0,كظم
سرق,سَرِقَ,0,سرق
ظعن,ظَعَنَ,1,ظعن
ظفر,ظَفَرَ,0,ظفر
ظفر,ظَفِرَ,0,ظفر
حزق,حَزَقَ,0,حزق
ظلف,ظَلَفَ,0,ظلف
قلف,قَلِفَ,0,قلف
ردع,رَدَعَ,0,ردع
عزف,عَزَفَ,0,عزف
طلب,طَلِبَ,0,طلب
لقن,لَقِنَ,1,لقي
غسل,غَسَلَ,1,غسل
طلس,طَلَسَ,0,طلس
طلس,طَلِسَ,0,طلس
يمن,يَمِنَ,0,يمن
غصب,غَصَبَ,0,غصب
صعد,صَعِدَ,0,صعد
لطخ,لَطَخَ,0,لطخ
ضغم,ضَغَمَ,0,ضغم
ضرم,ضَرِمَ,0,ضرم
نحس,نَحَسَ,0,نحس
ضلع,ضَلَعَ,0,ضلع
صقع,صَقَعَ,0,صقع
ضحل,ضَحَلَ,0,ضحل
ضمد,ضَمَدَ,0,ضمد
خنع,خَنَعَ,1,خنع
ضفر,ضَفَرَ,0,ضفر
ضبح,ضَبَحَ,0,ضبح
جوف,جَوِفَ,0,جوف
ندم,نَدِمَ,0,ندم
صفح,صَفَحَ,0,صفح
صهب,صَهِبَ,0,صهب
عبط,عَبَطَ,0,عبط
قصف,قَصِفَ,0,قصف
حدب,حَدِبَ,0,حدب
فرز,فَرَزَ,0,فرز
عتب,عَتَبَ,0,عتب
ضرع,ضَرِعَ,0,ضرع
نجح,نَجَحَ,0,نجح
صقع,صَقِعَ,0,صقع
صلب,صَلَبَ,0,صلب
شرط,شَرِطَ,0,شرط
شرع,شَرَعَ,0,
دعث,دَعِثَ,0,دعث
لفح,لَفَحَ,0,لفح
شرق,شَرِقَ,0,
شرك,شَرِكَ,0,شري
حنق,حَنِقَ,0,حنق
شره,شَرِهَ,0,شري
طرح,طَرَحَ,0,طرح
نصف,نَصَفَ,0,نصف
شعث,شَعِثَ,0,شعث
جيد,جَيِدَ,0,جود
دمل,دَمِلَ,1,دمل
تلع,تَلَعَ,0,تلع
شجن,شَجِنَ,0,شجج
شغف,شَغَفَ,0,شغف
عجف,عَجَفَ,0,عجف
شحط,شَحَطَ,0,شحط
تلع,تَلِعَ,0,تلع
ردم,رَدَمَ,0,ردم
بهت,بَهَتَ,0,بهه
زرب,زَرِبَ,0,زرب
رتل,رَتِلَ,0,رتل
عضل,عَضِلَ,0,عضل
شعل,شَعَلَ,1,شعل
شمع,شَمَعَ,0,شمع
جهم,جَهَمَ,0,جهم
دغش,دَغَشَ,0,دغش
طبق,طَبِقَ,1,طبق
عبث,عَبِثَ,0,عبث
مسخ,مَسَخَ,0,مسخ
طحل,طَحِلَ,0,طحل
طحن,طَحَنَ,0,طحح
طمث,طَمَثَ,0,طمث
طمع,طَمِعَ,0,طمع
خضب,خَضَبَ,0,خضب
طنب,طَنِبَ,1,طنب
نبز,نَبَزَ,0,نبز
رمض,رَمِضَ,0,رمض
